"Method";"Mean_RD";"Nb_itt";"Coverage_rate";"MC_CR";"CI_width";"P_025_CIW";"P_975_CIW";"MC_CIW";"Bias_Mean";"MC_bias";"Bias_relative_Mean";"MC_RelativeBias";"Emp_SE";"ModSE";"RE_SE";"MC_RESE";"Scenario";"k";"m";"icc";"nb_cov_indiv";"nb_cov_clus";"Prevalence";"Convergence_rate"
"CL_GC_both";0,107746187394086;864;87,8472222222222;0,011115907489391;0,577446740443232;0,237287849587854;1,04488335265745;0,00667875393234658;0,00774618739408635;0,00523127102517486;7,74618739408635;0,048623347128764;0,153767336614616;0,134797979910659;-12,3364019443867;2,11076126013172;2;5;280;0,2;3;2;"0.5/0.4";86,4
"CL_GC_indep_indv";0,104594638956658;1000;91,5;0,00881901355027874;0,671332065690124;0,296493577656417;0,960382854395216;0,00516199223770089;0,00459463895665759;0,00481537485217974;4,59463895665758;0,0460613925428235;0,152275523203846;0,152702376284372;0,280316279034798;2,24383313601003;2;5;280;0,2;3;2;"0.5/0.4";100
"CL_GC_indep_both";0,103720664023804;998;88,2765531062124;0,0101832187504231;0,635067695649032;0,196294858662158;1,31831357285197;0,00962892939665551;0,00372066402380358;0,00510886671698539;3,72066402380357;0,0492701089966885;0,161394913468973;0,155624583465529;-3,57528615953138;2,16560158462183;2;5;280;0,2;3;2;"0.5/0.4";99,8
"CL_TMLE_indv";0,0977277248840265;1000;92,5;0,00832916562447884;0,561825150894853;0,36482489742389;0,677041233967851;0,00280641840048324;-0,00227227511597343;0,00431735081002891;-2,27227511597343;0,044183187997333;0,136526620176643;0,123326822440462;-9,66829598440393;2,02095786966187;2;5;280;0,2;3;2;"0.5/0.4";100
"CL_TMLE_both";0,0989884669174253;1000;81,2;0,0123554036761249;0,456414691996643;0,200308135770684;0,681682287468219;0,00395107759518413;-0,00101153308257472;0,00468817059959707;-1,01153308257472;0,0473618571993657;0,14825297154164;0,102599784502939;-30,7941126332689;1,54836808938498;2;5;280;0,2;3;2;"0.5/0.4";100
"CL_TMLE_APS_Balzer";0,103924661675663;1000;87;0,0106348483769163;0,512606474874613;0,261357340763066;0,676324472681684;0,00361753656680024;0,00392466167566314;0,00471816640381741;3,92466167566314;0,0454168501124107;0,149201522157488;0,113877431946606;-23,6754221405299;1,70761762425819;2;5;280;0,2;3;2;"0.5/0.4";100
"CL_TMLE_APS_indv_Balzer";0,101146624999217;1000;92,4;0,00837997613361756;0,568504803893441;0,368835628304814;0,68464705228225;0,00282147724942462;0,00114662499921742;0,0043524779685298;1,14662499921742;0,0430329003905951;0,137637438462568;0,124773575518621;-9,34619467467444;2,02816566934649;2;5;280;0,2;3;2;"0.5/0.4";100
"CL_UN";0,109789331026604;1000;94,1;0,00745110730026082;0,490507542815839;0,380501947675105;0,596335299021822;0,00177657045756338;0,00978933102660365;0,00378709072749462;9,78933102660365;0,0346329287296972;0,11975832404587;0,11749868315185;-1,88683409860896;2,19502011474187;3;10;15;0,2;3;2;"0.5/0.4";100
"CL_TSP_Gauss";0,0792842446527431;1000;94,6;0,00714730718522718;0,44942426719129;0,330854630457058;0,565378086841573;0,00189541729722763;-0,0207157553472569;0,00341833291224177;-20,7157553472569;0,0436102338797788;0,108097178034005;0,106938641975648;-1,07175421174427;2,21325642672002;3;10;15;0,2;3;2;"0.5/0.4";100
"CL_TSP_Bin";0,0791883737400547;1000;94,5;0,00720936890441875;0,449101112369338;0,326542890417938;0,566000761816596;0,00190168785094066;-0,0208116262599452;0,00341775637069574;-20,8116262599452;0,043659205766808;0,108078946189493;0,106869282560255;-1,11924076972175;2,21219427233004;3;10;15;0,2;3;2;"0.5/0.4";100
